title,soup
the lego movie (2014),children (2014) movie animation feel-good action adventure lego comedy cheeky clever imaginative fun fantasy quirky colorful the
interstellar (2014),hole sci-fi visually (2014) bad dialogue issues philosophical thought-provoking black nolan imax appealing interstellar christopher time-travel
godzilla (2014),sci-fi (2014) feature action adventure imax godzilla creature
a million ways to die in the west (2014),liam to (2014) in neeson comedy charlize theron seth ways million west western witty die a macfarlane the
frank (2014),mental (2014) introspection frank drama illness comedy mystery black adorable quirky eccentric
"babadook, the (2014)","metaphorical psychological (2014) atmospheric drama babadook, thriller horror dark the"
whiplash (2014),psychological whiplash suspense (2014) inspiring drama tense passion intense music jazz inspirational
gone girl (2014),ending annoying (2014) gone drama girl thriller stupid
guardians of the galaxy (2014),sci-fi guardians (2014) of visuals humorous hero galaxy action adventure great unlikely funny the
"two days, one night (deux jours, une nuit) (2014)","(deux une (2014) one drama two jours, days, nuit) bittersweet night"
"maze runner, the (2014)","sci-fi dystopia (2014) unexplained maze action runner, holes mystery post-apocalyptic thriller weak plot survival the"
angel's egg (tenshi no tamago) (1985),(1985) atmospheric bizzare (tenshi symbolism animation drama no angel's eerie egg fantasy tamago)
john wick (2014),killer (2014) revenge gun-fu action secret thriller widows/widowers stylish wick society reeves keanu john dark hero
big hero 6 (2014),very (2014) movie kids animation action comedy 6 family robots fun big funny feel-good hero
the imitation game (2014),game imitation (2014) drama war intelligent thriller inspirational the
wild tales (2014),(2014) drama tales comedy thriller black humor ironic multiple stories wild dark short
the rabbi's cat (le chat du rabbin) (2011),trippy rabbi's rabbin) (2011) animation philosophical adventure cat chat the du (le
paddington (2014),paddington children (2014) heartwarming comedy
the hobbit: the battle of the five armies (2014),five hope of (2014) armies adventure hobbit: fantasy battle the
good copy bad copy (2007),remix bad (2007) industry copy music documentary good culture
big eyes (2014),(2014) drama eyes painter big
the interview (2014),franco rogen (2014) action comedy bloody seth james bromance interview funny the
kingsman: the secret service (2015),(2015) slick action kingsman: adventure secret service comedy crime the
taken 3 (2015),(2015) 3 police taken action thriller crime murder
mad max: fury road (2015),visually (2015) sci-fi cinematography road max: mad fury action adventure beautiful thriller appealing
avengers: infinity war - part i (2018),thor guardians downey mcu avengers: jr. great dark strange sci-fi robert stunning emotional infinity part war comic galaxy adventure sad appealing marvel the (2018) of thanos i visually book - action villain dr.
thor: ragnarok (2017),sci-fi quirky guilt white action adventure awesome humor unconventional (2017) thor: ragnarok
guardians of the galaxy 2 (2017),sci-fi 2 guardians of galaxy action adventure fun (2017) the
doctor strange (2016),visually sci-fi action doctor adventure appealing (2016) strange
the duff (2015),(2015) school high duff comedy funny the
a story of children and film (2013),history children of and (2013) poetic film documentary story representation a
a pigeon sat on a branch reflecting on existence (2014),understated (2014) sat drama existence comedy depressing branch reflecting on a pigeon
the hateful eight (2015),russell (2015) building characters jackson dialogue l. tension eight violent samuel quentin western humor kurt tarantino hateful the
the martian (2015),(2015) sci-fi drama adventure smart martian the
kung fury (2015),(2015) sci-fi silly fury action comedy fantasy ridiculous funny kung
the hunger games: mockingjay - part 2 (2015),(2015) dystopia jennifer games: sci-fi part adventure rebellion lawrence the mockingjay hunger politics nonsense story 2 - revolution love
self/less (2015),(2015) sci-fi ben kingsley ethics action immortality mystery thriller self/less ryan reynolds
suicide squad (2016),poor jared sci-fi superhero horrible comic affleck crime paced appealing (2016) comics ass margot harley robbie of smith soundtrack story good joker will plot visually ben bad book dc directing leto action quinn quinn's lack batman poorly squad writing suicide
batman v superman: dawn of justice (2016),superman: justice fantasy dark sci-fi v superhero wonderwoman adventure dawn affleck comics (2016) of gadot ben dc action superman batman gal
the man from u.n.c.l.e. (2015),(2015) from slick action man adventure comedy u.n.c.l.e. stylish the
the revenant (2015),visually (2015) tom cinematography dicarpio survival drama hardy adventure appealing leonardo the striking revenant
sicario (2015),(2015) atmospheric drama tension mystery crime sicario
room (2015),(2015) room moving drama touching
beasts of no nation (2015),(2015) of moving drama war beasts no nation
silence (2016),drama philosophical thought-provoking tragic thriller (2016) silence contemplative
just eat it: a food waste story (2014),(2014) diving just sustainability documentary story eat food it: a waste dumpster
"big short, the (2015)","(2015) short, drama witty interesting big funny the"
world of tomorrow (2015),(2015) world of existential surreal animation comedy tomorrow
10 cloverfield lane (2016),suspense cloverfield creepy thriller 10 (2016) lane
who killed chea vichea? (2010),chea human (2010) procedural who rights documentary crime murder vichea? killed cambodia
rabbits (2002),drama comedy nightmare (2002) fantasy rabbits
eye in the sky (2016),suspense sky drama war in thought-provoking thriller (2016) eye the
everybody wants some (2016),80's wants everybody comedy (2016) some
Paterson (2016),understated drama romance comedy (2016) sweet quirky paterson
sausage party (2016),mindfuck vulgar animation sarcasm satire comedy humor crude (2016) sausage party
captain fantastic (2016),fantastic building captain viggo mortensen freedom drama family good individualism (2016) writing a creative
don't breathe (2016),don't breathe intense thriller (2016)
arrival (2016),cerebral sci-fi cinematography visually visuals thought-provoking beautiful smart appealing good (2016) arrival
la la land (2016),visually la drama comedy romance appealing land (2016) bittersweet
the lego batman movie (2017),movie animation heartwarming action lego comedy batman funny (2017) the
john wick: chapter two (2017),tactics hitman reeves dark thriller crime wick: keanu hero bloodshed society gun heroic two action secret chapter organized john (2017)
logan (2017),sci-fi emotional gritty heartbreaking action logan predictible plot (2017) dark
it comes at night (2017),it at suspenseful paranoia mystery thriller comes horror (2017) night
black mirror: white christmas (2014),sci-fi dystopia (2014) white mirror: drama provoking mystery thriller black christmas interesting horror jon thought future hamm
dunkirk (2017),inspiring drama war action brilliant tense thriller dunkirk (2017)
blade runner 2049 (2017),sci-fi cinematography atmospheric dreamlike 2049 philosophical blade beautiful runner existentialism (2017) dark moody
mother! (2017),allegorical mother! drama mystery thriller unsettling horror (2017) uncomfortable
jumanji: welcome to the jungle (2017),welcome to children dwayne jumanji: jungle action adventure comedy johnson funny (2017) the
the shape of water (2017),of atmospheric dreamlike drama adventure shape water fantasy (2017) the
the greatest showman (2017),bad drama showman music greatest (2017) the
game night (2018),(2018) game rachel action comedy crime horror mcadams funny night
tomb raider (2018),(2018) raider game alicia action adventure tomb video adaptation fantasy vikander
deadpool 2 (2018),(2018) sci-fi 2 deadpool brolin reynolds action sarcasm comedy ryan josh
solo: a star wars story (2018),(2018) sci-fi star clarke children action adventure emilia story wars solo: a
gintama: the movie (2010),sci-fi movie remaster (2010) animation action comedy gintama gintama: anime the
